"filename", "language", "Markdown", "C#", "TypeScript", "Batch", "XML", "C++", "JSON with Comments", "TypeScript JSX", "CSS", "JSON", "HTML", "YAML", "Python", "comment", "blank", "total"
"c:\Claude Code\mtproto-proxy-hub\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 7
"c:\Claude Code\mtproto-proxy-hub\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\Claude Code\mtproto-proxy-hub\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Claude Code\mtproto-proxy-hub\README.md", "Markdown", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 176
"c:\Claude Code\mtproto-proxy-hub\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 7, 57, 335
"c:\Claude Code\mtproto-proxy-hub\backend_cpp\INSTALL.md", "Markdown", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 137
"c:\Claude Code\mtproto-proxy-hub\backend_cpp\README.md", "Markdown", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 105
"c:\Claude Code\mtproto-proxy-hub\backend_cpp\build.bat", "Batch", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 57
"c:\Claude Code\mtproto-proxy-hub\backend_cpp\main.cpp", "C++", 0, 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 24, 95, 494
"c:\Claude Code\mtproto-proxy-hub\backend_csharp\Program.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 51
"c:\Claude Code\mtproto-proxy-hub\backend_csharp\ProxyChecker.cs", "C#", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58, 351
"c:\Claude Code\mtproto-proxy-hub\backend_csharp\ProxyChecker.csproj", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Claude Code\mtproto-proxy-hub\backend_csharp\README.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 93
"c:\Claude Code\mtproto-proxy-hub\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 6, 36
"c:\Claude Code\mtproto-proxy-hub\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2836, 0, 0, 0, 0, 1, 2837
"c:\Claude Code\mtproto-proxy-hub\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Claude Code\mtproto-proxy-hub\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 18, 51, 488
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\AutoRefreshControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 1, 19, 181
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\BackendLanguageControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 11, 94
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\CountryTooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 9, 66
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\LanguageToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\MapCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 6, 15, 178
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\MapControls.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 6, 7, 78
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\MapLegend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 5, 60
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\PingTypeControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 5, 25, 228
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\ProxyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 23, 255
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\SkeletonLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\SortControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 6, 24, 175
"c:\Claude Code\mtproto-proxy-hub\frontend\src\components\ViewModeControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Claude Code\mtproto-proxy-hub\frontend\src\locales\translations.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 21, 135
"c:\Claude Code\mtproto-proxy-hub\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Claude Code\mtproto-proxy-hub\frontend\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 11, 100
"c:\Claude Code\mtproto-proxy-hub\frontend\src\pages\ProxyMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 25, 30, 226
"c:\Claude Code\mtproto-proxy-hub\frontend\src\services\api.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"c:\Claude Code\mtproto-proxy-hub\frontend\src\styles\About.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 2, 46, 333
"c:\Claude Code\mtproto-proxy-hub\frontend\src\styles\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 2551, 0, 0, 0, 0, 24, 464, 3039
"c:\Claude Code\mtproto-proxy-hub\frontend\src\styles\ProxyMap.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 424, 0, 0, 0, 0, 10, 83, 517
"c:\Claude Code\mtproto-proxy-hub\frontend\src\styles\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 6, 50
"c:\Claude Code\mtproto-proxy-hub\frontend\src\types\map.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 58
"c:\Claude Code\mtproto-proxy-hub\frontend\src\types\proxy.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59
"c:\Claude Code\mtproto-proxy-hub\frontend\src\types\sort.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Claude Code\mtproto-proxy-hub\frontend\src\utils\mapData.ts", "TypeScript", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 39, 439
"c:\Claude Code\mtproto-proxy-hub\frontend\src\utils\sorting.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 67
"c:\Claude Code\mtproto-proxy-hub\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Claude Code\mtproto-proxy-hub\frontend\vite.config.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Claude Code\mtproto-proxy-hub\start\README.md", "Markdown", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 166
"c:\Claude Code\mtproto-proxy-hub\start\start-all.bat", "Batch", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 234
"c:\Claude Code\mtproto-proxy-hub\start\start-backend.bat", "Batch", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Claude Code\mtproto-proxy-hub\start\start-frontend.bat", "Batch", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Claude Code\mtproto-proxy-hub\vercel.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"Total", "-", 554, 330, 676, 279, 7, 375, 20, 1935, 3302, 2897, 26, 0, 271, 261, 1393, 12326